Question,Option A,Option B,Option C,Option D,Answer
What does the Saga pattern handle in distributed transactions?,Service discovery,Distributed transactions,Load balancing,Authentication,B
Which algorithm is used for finding the longest common subsequence?,Dynamic Programming,Greedy Algorithm,Divide and Conquer,Backtracking,A
What is the time complexity of the Kruskal's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),A
Which protocol is used for real-time data streaming?,HTTP,WebSocket,Kafka,All of the above,D
What does the Circuit Breaker pattern prevent?,Cascading failures,Memory leaks,Deadlocks,Race conditions,A
Which algorithm is used for consensus in blockchain?,Proof of Work,Proof of Stake,Both A and B,None of the above,C
What is the time complexity of the Prim's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),B
What is the time complexity of the Ford-Fulkerson algorithm for maximum flow?,O(VE^2),O(V^2E),O(V^3),O(E^2),A
Which design pattern is used for implementing a state machine?,State Pattern,Strategy Pattern,Observer Pattern,Command Pattern,A
What does the 3PC (Three-Phase Commit) protocol add to 2PC?,Pre-commit phase,Abort phase,Recovery phase,Validation phase,A
Which algorithm is used for finding the longest path in a DAG?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the maximum number of nodes in a B-tree of order m and height h?,m^h - 1,m^h,m^(h+1) - 1,m^(h+1),C
Which sorting algorithm is in-place and has O(n log n) average time complexity?,Merge Sort,Quick Sort,Heap Sort,Shell Sort,B
What does the PACELC theorem extend the CAP theorem with?,Latency and Consistency,Performance and Availability,Partition and Consistency,Performance and Consistency,A
Which algorithm is used for finding the minimum spanning tree in a graph with negative edges?,Kruskal's Algorithm,Prim's Algorithm,Both A and B,None of the above,C
What is the time complexity of the Rabin fingerprinting algorithm?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time audio streaming?,WebRTC,RTMP,WebSocket,All of the above,D
What does the Retry pattern handle in distributed systems?,Transient failures,Permanent failures,Network timeouts,All of the above,D
Which algorithm is used for consensus in distributed databases?,Paxos,Raft,ZAB,All of the above,D
What is the time complexity of the Manacher's algorithm for longest palindromic substring?,O(n),O(n^2),O(n log n),O(n^3),A
Which design pattern is used for implementing a mediator?,Mediator Pattern,Observer Pattern,Command Pattern,Strategy Pattern,A
What does the Event-Driven Architecture pattern emphasize?,Synchronous communication,Asynchronous communication,Request-response,Client-server,B
Which algorithm is used for finding the shortest path in a graph with time-dependent weights?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Dynamic Programming,None of the above,C
What is the time complexity of the Z algorithm for pattern matching?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time collaborative editing?,Operational Transformation,WebSocket,WebRTC,All of the above,D
What does the Chain of Responsibility pattern implement?,Request handling chain,Command pattern,Observer pattern,Strategy pattern,A
Which algorithm is used for finding the maximum flow in a network with multiple sources and sinks?,Ford-Fulkerson,Edmonds-Karp,Preflow-Push,All of the above,D
What is the time complexity of the Hopcroft-Karp algorithm for bipartite matching?,O(E√V),O(V^2),O(E log V),O(V log V),A
Which data structure is used in implementing a skip list?,Linked List,Array,Tree,Hash Table,A
What does the YAGNI principle in software development stand for?,You Aren't Gonna Need It,You Are Gonna Need It,You Always Need It,You Never Need It,A
Which algorithm is used for finding the longest path in a directed acyclic graph?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the time complexity of the Johnson's algorithm for all-pairs shortest paths?,O(V^2),O(V^3),O(V^2 log V),O(VE log V),C
Which protocol is used for service discovery in Kubernetes?,DNS,Consul,Etcd,All of the above,D
What does the CQRS pattern separate in microservices?,Read and write operations,Client and server,Database and cache,Frontend and backend,A
Which algorithm is used for finding articulation points in an undirected graph?,DFS,BFS,Tarjan's Algorithm,Dijkstra's Algorithm,C
What is the maximum number of edges in a directed graph with n vertices?,n-1,n,n*(n-1)/2,n*(n-1),D
Which design pattern is used for implementing a family of related algorithms?,Factory Pattern,Strategy Pattern,Observer Pattern,Singleton Pattern,B
What does the Saga pattern handle in distributed transactions?,Service discovery,Distributed transactions,Load balancing,Authentication,B
Which algorithm is used for finding the longest common subsequence?,Dynamic Programming,Greedy Algorithm,Divide and Conquer,Backtracking,A
What is the time complexity of the Kruskal's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),A
Which protocol is used for real-time data streaming?,HTTP,WebSocket,Kafka,All of the above,D
What does the Circuit Breaker pattern prevent?,Cascading failures,Memory leaks,Deadlocks,Race conditions,A
Which algorithm is used for consensus in blockchain?,Proof of Work,Proof of Stake,Both A and B,None of the above,C
What is the time complexity of the Prim's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),B
What is the time complexity of the Ford-Fulkerson algorithm for maximum flow?,O(VE^2),O(V^2E),O(V^3),O(E^2),A
Which design pattern is used for implementing a state machine?,State Pattern,Strategy Pattern,Observer Pattern,Command Pattern,A
What does the 3PC (Three-Phase Commit) protocol add to 2PC?,Pre-commit phase,Abort phase,Recovery phase,Validation phase,A
Which algorithm is used for finding the longest path in a DAG?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the maximum number of nodes in a B-tree of order m and height h?,m^h - 1,m^h,m^(h+1) - 1,m^(h+1),C
Which sorting algorithm is in-place and has O(n log n) average time complexity?,Merge Sort,Quick Sort,Heap Sort,Shell Sort,B
What does the PACELC theorem extend the CAP theorem with?,Latency and Consistency,Performance and Availability,Partition and Consistency,Performance and Consistency,A
Which algorithm is used for finding the minimum spanning tree in a graph with negative edges?,Kruskal's Algorithm,Prim's Algorithm,Both A and B,None of the above,C
What is the time complexity of the Rabin fingerprinting algorithm?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time audio streaming?,WebRTC,RTMP,WebSocket,All of the above,D
What does the Retry pattern handle in distributed systems?,Transient failures,Permanent failures,Network timeouts,All of the above,D
Which algorithm is used for consensus in distributed databases?,Paxos,Raft,ZAB,All of the above,D
What is the time complexity of the Manacher's algorithm for longest palindromic substring?,O(n),O(n^2),O(n log n),O(n^3),A
Which design pattern is used for implementing a mediator?,Mediator Pattern,Observer Pattern,Command Pattern,Strategy Pattern,A
What does the Event-Driven Architecture pattern emphasize?,Synchronous communication,Asynchronous communication,Request-response,Client-server,B
Which algorithm is used for finding the shortest path in a graph with time-dependent weights?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Dynamic Programming,None of the above,C
What is the time complexity of the Z algorithm for pattern matching?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time collaborative editing?,Operational Transformation,WebSocket,WebRTC,All of the above,D
What does the Chain of Responsibility pattern implement?,Request handling chain,Command pattern,Observer pattern,Strategy pattern,A
Which algorithm is used for finding the maximum flow in a network with multiple sources and sinks?,Ford-Fulkerson,Edmonds-Karp,Preflow-Push,All of the above,D
What is the time complexity of the Hopcroft-Karp algorithm for bipartite matching?,O(E√V),O(V^2),O(E log V),O(V log V),A
Which data structure is used in implementing a skip list?,Linked List,Array,Tree,Hash Table,A
What does the YAGNI principle in software development stand for?,You Aren't Gonna Need It,You Are Gonna Need It,You Always Need It,You Never Need It,A
Which algorithm is used for finding the longest path in a directed acyclic graph?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the time complexity of the Johnson's algorithm for all-pairs shortest paths?,O(V^2),O(V^3),O(V^2 log V),O(VE log V),C
Which protocol is used for service discovery in Kubernetes?,DNS,Consul,Etcd,All of the above,D
What does the CQRS pattern separate in microservices?,Read and write operations,Client and server,Database and cache,Frontend and backend,A
Which algorithm is used for finding articulation points in an undirected graph?,DFS,BFS,Tarjan's Algorithm,Dijkstra's Algorithm,C
What is the maximum number of edges in a directed graph with n vertices?,n-1,n,n*(n-1)/2,n*(n-1),D
Which design pattern is used for implementing a family of related algorithms?,Factory Pattern,Strategy Pattern,Observer Pattern,Singleton Pattern,B
What does the Saga pattern handle in distributed transactions?,Service discovery,Distributed transactions,Load balancing,Authentication,B
Which algorithm is used for finding the longest common subsequence?,Dynamic Programming,Greedy Algorithm,Divide and Conquer,Backtracking,A
What is the time complexity of the Kruskal's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),A
Which protocol is used for real-time data streaming?,HTTP,WebSocket,Kafka,All of the above,D
What does the Circuit Breaker pattern prevent?,Cascading failures,Memory leaks,Deadlocks,Race conditions,A
Which algorithm is used for consensus in blockchain?,Proof of Work,Proof of Stake,Both A and B,None of the above,C
What is the time complexity of the Prim's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),B
What is the time complexity of the Ford-Fulkerson algorithm for maximum flow?,O(VE^2),O(V^2E),O(V^3),O(E^2),A
Which design pattern is used for implementing a state machine?,State Pattern,Strategy Pattern,Observer Pattern,Command Pattern,A
What does the 3PC (Three-Phase Commit) protocol add to 2PC?,Pre-commit phase,Abort phase,Recovery phase,Validation phase,A
Which algorithm is used for finding the longest path in a DAG?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the maximum number of nodes in a B-tree of order m and height h?,m^h - 1,m^h,m^(h+1) - 1,m^(h+1),C
Which sorting algorithm is in-place and has O(n log n) average time complexity?,Merge Sort,Quick Sort,Heap Sort,Shell Sort,B
What does the PACELC theorem extend the CAP theorem with?,Latency and Consistency,Performance and Availability,Partition and Consistency,Performance and Consistency,A
Which algorithm is used for finding the minimum spanning tree in a graph with negative edges?,Kruskal's Algorithm,Prim's Algorithm,Both A and B,None of the above,C
What is the time complexity of the Rabin fingerprinting algorithm?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time audio streaming?,WebRTC,RTMP,WebSocket,All of the above,D
What does the Retry pattern handle in distributed systems?,Transient failures,Permanent failures,Network timeouts,All of the above,D
Which algorithm is used for consensus in distributed databases?,Paxos,Raft,ZAB,All of the above,D
What is the time complexity of the Manacher's algorithm for longest palindromic substring?,O(n),O(n^2),O(n log n),O(n^3),A
Which design pattern is used for implementing a mediator?,Mediator Pattern,Observer Pattern,Command Pattern,Strategy Pattern,A
What does the Event-Driven Architecture pattern emphasize?,Synchronous communication,Asynchronous communication,Request-response,Client-server,B
Which algorithm is used for finding the shortest path in a graph with time-dependent weights?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Dynamic Programming,None of the above,C
What is the time complexity of the Z algorithm for pattern matching?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time collaborative editing?,Operational Transformation,WebSocket,WebRTC,All of the above,D
What does the Chain of Responsibility pattern implement?,Request handling chain,Command pattern,Observer pattern,Strategy pattern,A
Which algorithm is used for finding the maximum flow in a network with multiple sources and sinks?,Ford-Fulkerson,Edmonds-Karp,Preflow-Push,All of the above,D
What is the time complexity of the Hopcroft-Karp algorithm for bipartite matching?,O(E√V),O(V^2),O(E log V),O(V log V),A
Which data structure is used in implementing a skip list?,Linked List,Array,Tree,Hash Table,A
What does the YAGNI principle in software development stand for?,You Aren't Gonna Need It,You Are Gonna Need It,You Always Need It,You Never Need It,A
Which algorithm is used for finding the longest path in a directed acyclic graph?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the time complexity of the Johnson's algorithm for all-pairs shortest paths?,O(V^2),O(V^3),O(V^2 log V),O(VE log V),C
Which protocol is used for service discovery in Kubernetes?,DNS,Consul,Etcd,All of the above,D
What does the CQRS pattern separate in microservices?,Read and write operations,Client and server,Database and cache,Frontend and backend,A
Which algorithm is used for finding articulation points in an undirected graph?,DFS,BFS,Tarjan's Algorithm,Dijkstra's Algorithm,C
What is the maximum number of edges in a directed graph with n vertices?,n-1,n,n*(n-1)/2,n*(n-1),D
Which design pattern is used for implementing a family of related algorithms?,Factory Pattern,Strategy Pattern,Observer Pattern,Singleton Pattern,B
What does the Saga pattern handle in distributed transactions?,Service discovery,Distributed transactions,Load balancing,Authentication,B
Which algorithm is used for finding the longest common subsequence?,Dynamic Programming,Greedy Algorithm,Divide and Conquer,Backtracking,A
What is the time complexity of the Kruskal's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),A
Which protocol is used for real-time data streaming?,HTTP,WebSocket,Kafka,All of the above,D
What does the Circuit Breaker pattern prevent?,Cascading failures,Memory leaks,Deadlocks,Race conditions,A
Which algorithm is used for consensus in blockchain?,Proof of Work,Proof of Stake,Both A and B,None of the above,C
What is the time complexity of the Prim's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),B
What is the time complexity of the Ford-Fulkerson algorithm for maximum flow?,O(VE^2),O(V^2E),O(V^3),O(E^2),A
Which design pattern is used for implementing a state machine?,State Pattern,Strategy Pattern,Observer Pattern,Command Pattern,A
What does the 3PC (Three-Phase Commit) protocol add to 2PC?,Pre-commit phase,Abort phase,Recovery phase,Validation phase,A
Which algorithm is used for finding the longest path in a DAG?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the maximum number of nodes in a B-tree of order m and height h?,m^h - 1,m^h,m^(h+1) - 1,m^(h+1),C
Which sorting algorithm is in-place and has O(n log n) average time complexity?,Merge Sort,Quick Sort,Heap Sort,Shell Sort,B
What does the PACELC theorem extend the CAP theorem with?,Latency and Consistency,Performance and Availability,Partition and Consistency,Performance and Consistency,A
Which algorithm is used for finding the minimum spanning tree in a graph with negative edges?,Kruskal's Algorithm,Prim's Algorithm,Both A and B,None of the above,C
What is the time complexity of the Rabin fingerprinting algorithm?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time audio streaming?,WebRTC,RTMP,WebSocket,All of the above,D
What does the Retry pattern handle in distributed systems?,Transient failures,Permanent failures,Network timeouts,All of the above,D
Which algorithm is used for consensus in distributed databases?,Paxos,Raft,ZAB,All of the above,D
What is the time complexity of the Manacher's algorithm for longest palindromic substring?,O(n),O(n^2),O(n log n),O(n^3),A
Which design pattern is used for implementing a mediator?,Mediator Pattern,Observer Pattern,Command Pattern,Strategy Pattern,A
What does the Event-Driven Architecture pattern emphasize?,Synchronous communication,Asynchronous communication,Request-response,Client-server,B
Which algorithm is used for finding the shortest path in a graph with time-dependent weights?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Dynamic Programming,None of the above,C
What is the time complexity of the Z algorithm for pattern matching?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time collaborative editing?,Operational Transformation,WebSocket,WebRTC,All of the above,D
What does the Chain of Responsibility pattern implement?,Request handling chain,Command pattern,Observer pattern,Strategy pattern,A
Which algorithm is used for finding the maximum flow in a network with multiple sources and sinks?,Ford-Fulkerson,Edmonds-Karp,Preflow-Push,All of the above,D
What is the time complexity of the Hopcroft-Karp algorithm for bipartite matching?,O(E√V),O(V^2),O(E log V),O(V log V),A
Which data structure is used in implementing a skip list?,Linked List,Array,Tree,Hash Table,A
What does the YAGNI principle in software development stand for?,You Aren't Gonna Need It,You Are Gonna Need It,You Always Need It,You Never Need It,A
Which algorithm is used for finding the longest path in a directed acyclic graph?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the time complexity of the Johnson's algorithm for all-pairs shortest paths?,O(V^2),O(V^3),O(V^2 log V),O(VE log V),C
Which protocol is used for service discovery in Kubernetes?,DNS,Consul,Etcd,All of the above,D
What does the CQRS pattern separate in microservices?,Read and write operations,Client and server,Database and cache,Frontend and backend,A
Which algorithm is used for finding articulation points in an undirected graph?,DFS,BFS,Tarjan's Algorithm,Dijkstra's Algorithm,C
What is the maximum number of edges in a directed graph with n vertices?,n-1,n,n*(n-1)/2,n*(n-1),D
Which design pattern is used for implementing a family of related algorithms?,Factory Pattern,Strategy Pattern,Observer Pattern,Singleton Pattern,B
What does the Saga pattern handle in distributed transactions?,Service discovery,Distributed transactions,Load balancing,Authentication,B
Which algorithm is used for finding the longest common subsequence?,Dynamic Programming,Greedy Algorithm,Divide and Conquer,Backtracking,A
What is the time complexity of the Kruskal's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),A
Which protocol is used for real-time data streaming?,HTTP,WebSocket,Kafka,All of the above,D
What does the Circuit Breaker pattern prevent?,Cascading failures,Memory leaks,Deadlocks,Race conditions,A
Which algorithm is used for consensus in blockchain?,Proof of Work,Proof of Stake,Both A and B,None of the above,C
What is the time complexity of the Prim's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),B
What is the time complexity of the Ford-Fulkerson algorithm for maximum flow?,O(VE^2),O(V^2E),O(V^3),O(E^2),A
Which design pattern is used for implementing a state machine?,State Pattern,Strategy Pattern,Observer Pattern,Command Pattern,A
What does the 3PC (Three-Phase Commit) protocol add to 2PC?,Pre-commit phase,Abort phase,Recovery phase,Validation phase,A
Which algorithm is used for finding the longest path in a DAG?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the maximum number of nodes in a B-tree of order m and height h?,m^h - 1,m^h,m^(h+1) - 1,m^(h+1),C
Which sorting algorithm is in-place and has O(n log n) average time complexity?,Merge Sort,Quick Sort,Heap Sort,Shell Sort,B
What does the PACELC theorem extend the CAP theorem with?,Latency and Consistency,Performance and Availability,Partition and Consistency,Performance and Consistency,A
Which algorithm is used for finding the minimum spanning tree in a graph with negative edges?,Kruskal's Algorithm,Prim's Algorithm,Both A and B,None of the above,C
What is the time complexity of the Rabin fingerprinting algorithm?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time audio streaming?,WebRTC,RTMP,WebSocket,All of the above,D
What does the Retry pattern handle in distributed systems?,Transient failures,Permanent failures,Network timeouts,All of the above,D
Which algorithm is used for consensus in distributed databases?,Paxos,Raft,ZAB,All of the above,D
What is the time complexity of the Manacher's algorithm for longest palindromic substring?,O(n),O(n^2),O(n log n),O(n^3),A
Which design pattern is used for implementing a mediator?,Mediator Pattern,Observer Pattern,Command Pattern,Strategy Pattern,A
What does the Event-Driven Architecture pattern emphasize?,Synchronous communication,Asynchronous communication,Request-response,Client-server,B
Which algorithm is used for finding the shortest path in a graph with time-dependent weights?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Dynamic Programming,None of the above,C
What is the time complexity of the Z algorithm for pattern matching?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time collaborative editing?,Operational Transformation,WebSocket,WebRTC,All of the above,D
What does the Chain of Responsibility pattern implement?,Request handling chain,Command pattern,Observer pattern,Strategy pattern,A
Which algorithm is used for finding the maximum flow in a network with multiple sources and sinks?,Ford-Fulkerson,Edmonds-Karp,Preflow-Push,All of the above,D
What is the time complexity of the Hopcroft-Karp algorithm for bipartite matching?,O(E√V),O(V^2),O(E log V),O(V log V),A
Which data structure is used in implementing a skip list?,Linked List,Array,Tree,Hash Table,A
What does the YAGNI principle in software development stand for?,You Aren't Gonna Need It,You Are Gonna Need It,You Always Need It,You Never Need It,A
Which algorithm is used for finding the longest path in a directed acyclic graph?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the time complexity of the Johnson's algorithm for all-pairs shortest paths?,O(V^2),O(V^3),O(V^2 log V),O(VE log V),C
Which protocol is used for service discovery in Kubernetes?,DNS,Consul,Etcd,All of the above,D
What does the CQRS pattern separate in microservices?,Read and write operations,Client and server,Database and cache,Frontend and backend,A
Which algorithm is used for finding articulation points in an undirected graph?,DFS,BFS,Tarjan's Algorithm,Dijkstra's Algorithm,C
What is the maximum number of edges in a directed graph with n vertices?,n-1,n,n*(n-1)/2,n*(n-1),D
Which design pattern is used for implementing a family of related algorithms?,Factory Pattern,Strategy Pattern,Observer Pattern,Singleton Pattern,B
What does the Saga pattern handle in distributed transactions?,Service discovery,Distributed transactions,Load balancing,Authentication,B
Which algorithm is used for finding the longest common subsequence?,Dynamic Programming,Greedy Algorithm,Divide and Conquer,Backtracking,A
What is the time complexity of the Kruskal's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),A
Which protocol is used for real-time data streaming?,HTTP,WebSocket,Kafka,All of the above,D
What does the Circuit Breaker pattern prevent?,Cascading failures,Memory leaks,Deadlocks,Race conditions,A
Which algorithm is used for consensus in blockchain?,Proof of Work,Proof of Stake,Both A and B,None of the above,C
What is the time complexity of the Prim's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),B
What is the time complexity of the Ford-Fulkerson algorithm for maximum flow?,O(VE^2),O(V^2E),O(V^3),O(E^2),A
Which design pattern is used for implementing a state machine?,State Pattern,Strategy Pattern,Observer Pattern,Command Pattern,A
What does the 3PC (Three-Phase Commit) protocol add to 2PC?,Pre-commit phase,Abort phase,Recovery phase,Validation phase,A
Which algorithm is used for finding the longest path in a DAG?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the maximum number of nodes in a B-tree of order m and height h?,m^h - 1,m^h,m^(h+1) - 1,m^(h+1),C
Which sorting algorithm is in-place and has O(n log n) average time complexity?,Merge Sort,Quick Sort,Heap Sort,Shell Sort,B
What does the PACELC theorem extend the CAP theorem with?,Latency and Consistency,Performance and Availability,Partition and Consistency,Performance and Consistency,A
Which algorithm is used for finding the minimum spanning tree in a graph with negative edges?,Kruskal's Algorithm,Prim's Algorithm,Both A and B,None of the above,C
What is the time complexity of the Rabin fingerprinting algorithm?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time audio streaming?,WebRTC,RTMP,WebSocket,All of the above,D
What does the Retry pattern handle in distributed systems?,Transient failures,Permanent failures,Network timeouts,All of the above,D
Which algorithm is used for consensus in distributed databases?,Paxos,Raft,ZAB,All of the above,D
What is the time complexity of the Manacher's algorithm for longest palindromic substring?,O(n),O(n^2),O(n log n),O(n^3),A
Which design pattern is used for implementing a mediator?,Mediator Pattern,Observer Pattern,Command Pattern,Strategy Pattern,A
What does the Event-Driven Architecture pattern emphasize?,Synchronous communication,Asynchronous communication,Request-response,Client-server,B
Which algorithm is used for finding the shortest path in a graph with time-dependent weights?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Dynamic Programming,None of the above,C
What is the time complexity of the Z algorithm for pattern matching?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time collaborative editing?,Operational Transformation,WebSocket,WebRTC,All of the above,D
What does the Chain of Responsibility pattern implement?,Request handling chain,Command pattern,Observer pattern,Strategy pattern,A
Which algorithm is used for finding the maximum flow in a network with multiple sources and sinks?,Ford-Fulkerson,Edmonds-Karp,Preflow-Push,All of the above,D
What is the time complexity of the Hopcroft-Karp algorithm for bipartite matching?,O(E√V),O(V^2),O(E log V),O(V log V),A
Which data structure is used in implementing a skip list?,Linked List,Array,Tree,Hash Table,A
What does the YAGNI principle in software development stand for?,You Aren't Gonna Need It,You Are Gonna Need It,You Always Need It,You Never Need It,A
Which algorithm is used for finding the longest path in a directed acyclic graph?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the time complexity of the Johnson's algorithm for all-pairs shortest paths?,O(V^2),O(V^3),O(V^2 log V),O(VE log V),C
Which protocol is used for service discovery in Kubernetes?,DNS,Consul,Etcd,All of the above,D
What does the CQRS pattern separate in microservices?,Read and write operations,Client and server,Database and cache,Frontend and backend,A
Which algorithm is used for finding articulation points in an undirected graph?,DFS,BFS,Tarjan's Algorithm,Dijkstra's Algorithm,C
What is the maximum number of edges in a directed graph with n vertices?,n-1,n,n*(n-1)/2,n*(n-1),D
Which design pattern is used for implementing a family of related algorithms?,Factory Pattern,Strategy Pattern,Observer Pattern,Singleton Pattern,B
What does the Saga pattern handle in distributed transactions?,Service discovery,Distributed transactions,Load balancing,Authentication,B
Which algorithm is used for finding the longest common subsequence?,Dynamic Programming,Greedy Algorithm,Divide and Conquer,Backtracking,A
What is the time complexity of the Kruskal's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),A
Which protocol is used for real-time data streaming?,HTTP,WebSocket,Kafka,All of the above,D
What does the Circuit Breaker pattern prevent?,Cascading failures,Memory leaks,Deadlocks,Race conditions,A
Which algorithm is used for consensus in blockchain?,Proof of Work,Proof of Stake,Both A and B,None of the above,C
What is the time complexity of the Prim's algorithm for minimum spanning tree?,O(E log E),O(E log V),O(V^2),O(V log V),B
What is the time complexity of the Ford-Fulkerson algorithm for maximum flow?,O(VE^2),O(V^2E),O(V^3),O(E^2),A
Which design pattern is used for implementing a state machine?,State Pattern,Strategy Pattern,Observer Pattern,Command Pattern,A
What does the 3PC (Three-Phase Commit) protocol add to 2PC?,Pre-commit phase,Abort phase,Recovery phase,Validation phase,A
Which algorithm is used for finding the longest path in a DAG?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the maximum number of nodes in a B-tree of order m and height h?,m^h - 1,m^h,m^(h+1) - 1,m^(h+1),C
Which sorting algorithm is in-place and has O(n log n) average time complexity?,Merge Sort,Quick Sort,Heap Sort,Shell Sort,B
What does the PACELC theorem extend the CAP theorem with?,Latency and Consistency,Performance and Availability,Partition and Consistency,Performance and Consistency,A
Which algorithm is used for finding the minimum spanning tree in a graph with negative edges?,Kruskal's Algorithm,Prim's Algorithm,Both A and B,None of the above,C
What is the time complexity of the Rabin fingerprinting algorithm?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time audio streaming?,WebRTC,RTMP,WebSocket,All of the above,D
What does the Retry pattern handle in distributed systems?,Transient failures,Permanent failures,Network timeouts,All of the above,D
Which algorithm is used for consensus in distributed databases?,Paxos,Raft,ZAB,All of the above,D
What is the time complexity of the Manacher's algorithm for longest palindromic substring?,O(n),O(n^2),O(n log n),O(n^3),A
Which design pattern is used for implementing a mediator?,Mediator Pattern,Observer Pattern,Command Pattern,Strategy Pattern,A
What does the Event-Driven Architecture pattern emphasize?,Synchronous communication,Asynchronous communication,Request-response,Client-server,B
Which algorithm is used for finding the shortest path in a graph with time-dependent weights?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Dynamic Programming,None of the above,C
What is the time complexity of the Z algorithm for pattern matching?,O(n),O(n + m),O(nm),O(n log m),B
Which protocol is used for real-time collaborative editing?,Operational Transformation,WebSocket,WebRTC,All of the above,D
What does the Chain of Responsibility pattern implement?,Request handling chain,Command pattern,Observer pattern,Strategy pattern,A
Which algorithm is used for finding the maximum flow in a network with multiple sources and sinks?,Ford-Fulkerson,Edmonds-Karp,Preflow-Push,All of the above,D
What is the time complexity of the Hopcroft-Karp algorithm for bipartite matching?,O(E√V),O(V^2),O(E log V),O(V log V),A
Which data structure is used in implementing a skip list?,Linked List,Array,Tree,Hash Table,A
What does the YAGNI principle in software development stand for?,You Aren't Gonna Need It,You Are Gonna Need It,You Always Need It,You Never Need It,A
Which algorithm is used for finding the longest path in a directed acyclic graph?,Topological Sort,Dynamic Programming,Dijkstra's Algorithm,Bellman-Ford Algorithm,A
What is the time complexity of the Johnson's algorithm for all-pairs shortest paths?,O(V^2),O(V^3),O(V^2 log V),O(VE log V),C
Which protocol is used for service discovery in Kubernetes?,DNS,Consul,Etcd,All of the above,D
What does the CQRS pattern separate in microservices?,Read and write operations,Client and server,Database and cache,Frontend and backend,A
Which algorithm is used for finding articulation points in an undirected graph?,DFS,BFS,Tarjan's Algorithm,Dijkstra's Algorithm,C
What is the maximum number of edges in a directed graph with n vertices?,n-1,n,n*(n-1)/2,n*(n-1),D
Which design pattern is used for implementing a family of related algorithms?,Factory Pattern,Strategy Pattern,Observer Pattern,Singleton Pattern,B
What does the Saga pattern handle in distributed transactions?,Service discovery,Distributed transactions,Load balancing,Authentication,B
Which algorithm is used for finding the longest common subsequence?,Dynamic Programming,Greedy Algorithm,Divide and Conquer,Backtracking,A
