Question;Option A;Option B;Option C;Option D;answer
If a boat covers 120 km upstream in 30 hours and the same distance downstream in 20 hours, what is the speed of the boat in still water?;3 km/h;4 km/h;5 km/h;6 km/h;B
If the average of 25 numbers is 50 and the sum of twenty-four of them is 1160, what is the twenty-fifth number?;30;40;50;90;D
If the ratio of the present ages of A and B is 15:19 and after 19 years it will be 16:20, what is B's present age?;60;76;92;108;A
If a sum of money decuples itself in 90 years at simple interest, in how many years will it become twenty times?;180;200;220;240;B
If the area of a rectangle is 600 cm² and its length is 40 cm, what is its perimeter?;70 cm;82 cm;94 cm;110 cm;D
If the difference between the compound and simple interest on $25000 for 2 years at 20% per annum is?;$100;$110;$120;$130;C
If the sum of ten consecutive multiples of 10 is 550, what is the largest number?;50;60;70;80;C
If the product of two numbers is 840 and their HCF is 20, what is their LCM?;40;42;60;840;D
If the perimeter of a square is 160 cm, what is its area?;900 cm²;1024 cm²;1600 cm²;1764 cm²;C
If the sum of the ages of A, B, and C is 216 years and the ratio is 7:8:9, what is the age of C?;54;72;81;90;C
If a train 800 m long passes a platform 900 m long in 144 seconds, what is its speed in km/h?;36;40;45;45;B
If the average of 26 numbers is 52 and the sum of twenty-five of them is 1250, what is the twenty-sixth number?;32;42;52;102;D
If the sum of two numbers is 220 and their product is 10000, what is the sum of their reciprocals?;1/70;1/100;1/120;1/140;B
If the area of a triangle is 270 cm² and its base is 45 cm, what is its height?;10 cm;12 cm;14 cm;16 cm;B
If the sum of the digits of a two-digit number is 25 and the difference between the digits is 1, what is the number?;99;100;101;102;D
If the ratio of the length and breadth of a rectangle is 19:15 and its area is 1425 cm², what is its perimeter?;68 cm;80 cm;92 cm;136 cm;D
If a person spends 40% of his income and saves $1800, what is his income?;$2000;$2500;$3000;$3500;C
If the sum of the present ages of a father and his son is 144 years and the ratio is 12:7, what will be the ratio after 28 years?;3:1;4:1;5:2;6:1;C
If the difference between the compound and simple interest on $30000 for 2 years at 25% per annum is?;$187.50;$200.00;$212.50;$225.00;C
If the sum of the ages of A, B, and C is 207 years and the ratio is 9:10:11, what is the age of B?;45;60;69;78;C
If the sum of two numbers is 230 and their difference is 46, what is the product of the numbers?;10080;10584;11088;11616;C
If a boat covers 132 km upstream in 33 hours and the same distance downstream in 22 hours, what is the speed of the boat in still water?;3 km/h;4 km/h;5 km/h;6 km/h;B
If the average of 27 numbers is 54 and the sum of twenty-six of them is 1380, what is the twenty-seventh number?;34;44;54;78;D
If the ratio of the present ages of A and B is 16:21 and after 21 years it will be 17:22, what is B's present age?;64;84;105;126;A
If a sum of money undecuples itself in 110 years at simple interest, in how many years will it become twenty-two times?;220;240;260;280;B
If the area of a rectangle is 660 cm² and its length is 44 cm, what is its perimeter?;72 cm;84 cm;96 cm;118 cm;D
If the difference between the compound and simple interest on $35000 for 2 years at 30% per annum is?;$315;$330;$345;$360;C
If the sum of eleven consecutive multiples of 11 is 605, what is the largest number?;55;66;77;88;C
If the product of two numbers is 960 and their HCF is 24, what is their LCM?;40;48;60;960;D
If the perimeter of a square is 176 cm, what is its area?;1156 cm²;1296 cm²;1936 cm²;2116 cm²;C
If the sum of the ages of A, B, and C is 234 years and the ratio is 8:9:10, what is the age of C?;52;78;87;96;C
If a train 900 m long passes a platform 1000 m long in 162 seconds, what is its speed in km/h?;36;40;45;45;B
If the average of 28 numbers is 56 and the sum of twenty-seven of them is 1480, what is the twenty-eighth number?;36;46;56;88;D
If the sum of two numbers is 240 and their product is 12100, what is the sum of their reciprocals?;1/80;1/110;1/130;1/150;B
If the area of a triangle is 300 cm² and its base is 50 cm, what is its height?;10 cm;12 cm;14 cm;16 cm;B
If the sum of the digits of a two-digit number is 27 and the difference between the digits is 1, what is the number?;101;102;103;104;D
If the ratio of the length and breadth of a rectangle is 21:17 and its area is 1785 cm², what is its perimeter?;76 cm;88 cm;100 cm;152 cm;D
If a person spends 35% of his income and saves $1950, what is his income?;$2000;$2500;$3000;$3500;C
If the sum of the present ages of a father and his son is 156 years and the ratio is 13:8, what will be the ratio after 32 years?;3:1;4:1;5:2;6:1;C
If the difference between the compound and simple interest on $40000 for 2 years at 35% per annum is?;$490;$525;$560;$595;C
If the sum of the ages of A, B, and C is 225 years and the ratio is 10:11:12, what is the age of B?;45;75;82;90;C
If the sum of two numbers is 250 and their difference is 50, what is the product of the numbers?;12000;12500;13000;13500;C
If the sum of the ages of A, B, and C is 279 years and the ratio is 10:11:12, what is the age of C?;72;84;96;108;C
If a train 1100 m long passes a platform 1200 m long in 198 seconds, what is its speed in km/h?;36;40;45;45;B
If the average of 31 numbers is 62 and the sum of thirty of them is 1800, what is the thirty-first number?;42;52;62;142;D
If the sum of two numbers is 270 and their product is 16900, what is the sum of their reciprocals?;1/100;1/120;1/130;1/150;B
If the area of a triangle is 360 cm² and its base is 60 cm, what is its height?;10 cm;12 cm;14 cm;16 cm;A
If the sum of the digits of a two-digit number is 31 and the difference between the digits is 1, what is the number?;115;116;117;118;D
If the ratio of the length and breadth of a rectangle is 25:21 and its area is 2625 cm², what is its perimeter?;92 cm;104 cm;116 cm;184 cm;D
If a person spends 25% of his income and saves $2250, what is his income?;$2000;$2500;$3000;$3500;C
If the sum of the present ages of a father and his son is 180 years and the ratio is 15:8, what will be the ratio after 40 years?;3:1;4:1;5:2;6:1;C
If the difference between the compound and simple interest on $60000 for 2 years at 50% per annum is?;$2250;$2400;$2550;$2700;C
If the sum of thirteen consecutive multiples of 13 is 1170, what is the largest number?;65;78;91;104;C
If the product of two numbers is 1320 and their HCF is 33, what is their LCM?;40;44;60;1320;D
If the perimeter of a square is 208 cm, what is its area?;1600 cm²;2025 cm²;2704 cm²;3025 cm²;C
